run_id,experiment_id,model_family_id,architecture,alignment_strategy,training_mode,seed,random_partition_id,random_family,config_path,config_sha256,evidence_node,output_dir,status,execution_index,within_seed_position
V3-E__C_group_size_matched-07__seed_7,V3-E3-RANDOM,E__C_group_size_matched-07,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-07,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-07__seed_7.yaml,ab86a605492ca16bc62125f7c925e4e0f491f82be4a1b253b35efc5bc3905e8e,E3.3,experiments/v3_results/V3-E__C_group_size_matched-07__seed_7,planned,53,53
V3-E__C_group_size_matched-08__seed_7,V3-E3-RANDOM,E__C_group_size_matched-08,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-08,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-08__seed_7.yaml,f86f6fad6650fbc34b0a931a10357b62548cb84d162f80432a35f183b5b82e14,E3.3,experiments/v3_results/V3-E__C_group_size_matched-08__seed_7,planned,54,54
V3-E__C_group_size_matched-09__seed_7,V3-E3-RANDOM,E__C_group_size_matched-09,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-09,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-09__seed_7.yaml,31fc02a7584c00e4f112ede887abb935fdf8f6ff3afa322feab1276ee956e228,E3.3,experiments/v3_results/V3-E__C_group_size_matched-09__seed_7,planned,55,55
V3-E__C_group_size_matched-10__seed_7,V3-E3-RANDOM,E__C_group_size_matched-10,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-10,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-10__seed_7.yaml,0a0903a6198c155a7f0e325dbedb8c60ddee0f0a0fbdf8f7a99a379293a72642,E3.3,experiments/v3_results/V3-E__C_group_size_matched-10__seed_7,planned,56,56
V3-E__C_group_size_matched-11__seed_7,V3-E3-RANDOM,E__C_group_size_matched-11,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-11,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-11__seed_7.yaml,ec46e04a4fbcf3c281d46f8f9479a11647150b8eae6b7b2bb7b6673273bc89d0,E3.3,experiments/v3_results/V3-E__C_group_size_matched-11__seed_7,planned,57,57
V3-E__C_group_size_matched-12__seed_7,V3-E3-RANDOM,E__C_group_size_matched-12,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-12,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-12__seed_7.yaml,f3dee99c75752f612a86c1c4956fdda6a1b9db0e76a98c1cf614a9adcfcf6ae8,E3.3,experiments/v3_results/V3-E__C_group_size_matched-12__seed_7,planned,58,58
V3-E__C_group_size_matched-13__seed_7,V3-E3-RANDOM,E__C_group_size_matched-13,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-13,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-13__seed_7.yaml,be2b0e082383a8129ceea34bae4d8313457876966625300e2f34ab2866cc626b,E3.3,experiments/v3_results/V3-E__C_group_size_matched-13__seed_7,planned,59,59
V3-E__C_group_size_matched-14__seed_7,V3-E3-RANDOM,E__C_group_size_matched-14,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-14,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-14__seed_7.yaml,8d033c61d00ccde6ce2576555f0da170eaf8381ab66e68eddb532c9f1e15a169,E3.3,experiments/v3_results/V3-E__C_group_size_matched-14__seed_7,planned,60,60
V3-E__C_group_size_matched-15__seed_7,V3-E3-RANDOM,E__C_group_size_matched-15,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-15,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-15__seed_7.yaml,e007e6893bcd0cb7abd713fe9e0aeff1118234ca87a31a7cda73a0c12d849bac,E3.3,experiments/v3_results/V3-E__C_group_size_matched-15__seed_7,planned,61,61
V3-E__C_group_size_matched-16__seed_7,V3-E3-RANDOM,E__C_group_size_matched-16,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-16,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-16__seed_7.yaml,b4db4a76f4f4d15a0b590a2ebe001002bbc41b17d4f5878323f41949fbe2f3c0,E3.3,experiments/v3_results/V3-E__C_group_size_matched-16__seed_7,planned,62,62
V3-E__C_group_size_matched-17__seed_7,V3-E3-RANDOM,E__C_group_size_matched-17,dual_branch,random_feature_coral,supervised_update,7,C_group_size_matched-17,C_group_size_matched,v3/experiments/server_configs/V3-E__C_group_size_matched-17__seed_7.yaml,a0faf338a93105889e74d8aa4c76cc0a5b008365a3ac32bf70068c53c1d45f4d,E3.3,experiments/v3_results/V3-E__C_group_size_matched-17__seed_7,planned,63,63
