run_id,endpoint,strategy,threshold,net_benefit,interpretation_status
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.26,0.2503678593211842,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.27,0.24688173384496415,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.28,0.24292208903472545,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.29000000000000004,0.2395172616088953,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.3,0.23516947125733037,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.31,0.2319277313061142,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.32,0.2282213494786517,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.33,0.22412247341608438,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.34,0.22060557358220254,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.35000000000000003,0.2172395675040823,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.36000000000000004,0.2131667280519654,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.37,0.209241490296871,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.38,0.2053527260473124,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.39,0.20122338796350475,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.4,0.19752673050737737,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.41000000000000003,0.1931928716629192,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.42000000000000004,0.1893861547094262,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.43,0.18546172905645214,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.44,0.18213018147726512,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.45,0.17768761072183026,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.46,0.17441857581146403,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.47000000000000003,0.17061301486261277,sensitivity_analysis_not_clinically_prespecified
